Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.12839	312	4	10	3	8	6	2	1.156	2.1689	0.000000	0.000000	0.459849
m.12859	409	0	0	0	1	0	1	-0.129	-0.1532	0.992807	0.281370	0.947808
m.1286	2829	491	771	434	730	643	466	0.558	8.9027	0.000000	0.000000	0.366691
m.12872	385	8	4	6	5	7	5	0.426	0.8747	0.013376	0.000562	0.722731
m.12890	232	2	2	2	0	7	2	0.353	0.5186	0.273591	0.017036	0.865390
m.12895	388	4	0	1	4	3	0	1.012	1.5031	0.000001	0.000000	0.557980
m.129	503	4	6	4	5	5	1	0.552	1.0019	0.002967	0.000117	0.680641
m.12917	415	4	3	1	1	3	2	0.354	0.4905	0.320865	0.020994	0.877258
m.12931	406	0	0	1	1	0	0	-0.205	-0.2528	0.995384	0.314500	0.925349
m.12941	323	18	22	10	29	14	19	1.377	4.1067	0.000000	0.000000	0.375137
m.12945	765	0	1	1	2	1	1	0.297	0.4196	0.456500	0.034218	0.905880
m.1296	468	12	13	6	14	13	9	1.228	2.8991	0.000000	0.000000	0.404173
m.12970	372	2	10	7	12	8	5	0.914	2.0877	0.000000	0.000000	0.469288
m.12976	264	4	7	2	5	8	4	1.132	1.9315	0.000000	0.000000	0.489532
m.12982	418	10	7	6	6	8	5	0.535	1.0152	0.002506	0.000099	0.676521
m.12989	486	0	1	0	0	0	0	-0.031	-0.0410	0.999789	0.232431	0.962563
m.12991	100	34	71	38	61	53	33	0.695	3.1416	0.000000	0.000000	0.393596
m.12999	500	1	6	2	5	3	2	0.943	1.5075	0.000001	0.000000	0.557158
m.1301	177	14	22	12	15	25	17	0.666	1.7275	0.000000	0.000000	0.519637
m.13014	751	0	1	0	0	1	0	-0.144	-0.1829	0.992099	0.292315	0.942497
m.13024	171	0	0	1	0	3	1	0.247	0.3304	0.643697	0.058562	0.936756
m.13026	699	4	1	1	1	5	1	0.341	0.4753	0.348127	0.023420	0.883585
m.13039	212	2	0	0	0	0	2	0.077	0.1005	0.970900	0.159984	0.970944
m.13050	236	0	4	1	0	4	1	0.360	0.4766	0.345750	0.023204	0.883047
m.13075	235	6	6	2	5	5	2	1.050	1.5956	0.000000	0.000000	0.541359
m.13082	610	1	2	2	0	0	2	-0.062	-0.0896	0.996895	0.254996	0.956970
m.13085	424	7	10	5	9	8	5	1.027	2.0908	0.000000	0.000000	0.468913
m.13089	190	13	9	6	11	15	8	1.135	2.6877	0.000000	0.000000	0.416370
m.13090	174	9	9	4	9	8	4	1.106	2.1164	0.000000	0.000000	0.465863
m.13091	557	4	9	2	6	5	2	1.111	1.8854	0.000000	0.000000	0.495989
m.13094	265	0	0	0	0	0	4	0.343	0.4603	0.376095	0.026024	0.889743
m.13107	529	12	5	5	5	14	8	0.732	1.3624	0.000015	0.000001	0.586234
m.13119	549	14	18	10	13	12	2	0.628	1.4851	0.000002	0.000000	0.561378
m.13131	436	16	10	11	10	16	8	0.412	1.0513	0.001567	0.000061	0.665599
m.13133	304	15	9	12	17	15	17	0.754	2.1432	0.000000	0.000000	0.462752
m.13136	222	3	3	2	2	3	1	0.306	0.4738	0.350876	0.023671	0.884205
m.13171	608	0	1	1	0	1	0	-0.076	-0.1015	0.996002	0.260220	0.955431
m.13173	263	0	0	0	0	1	0	-0.135	-0.1729	0.992219	0.288730	0.944382
m.13180	357	7	1	2	9	4	7	1.541	2.7798	0.000000	0.000000	0.410759
m.13191	264	8	10	6	11	10	7	1.029	2.3867	0.000000	0.000000	0.438410
m.13197	189	4	6	4	6	3	6	0.824	1.5942	0.000000	0.000000	0.541601
m.132	146	1	0	0	0	0	1	-0.076	-0.0964	0.996388	0.257997	0.956099
m.13206	240	6	8	1	5	11	0	1.357	2.2585	0.000000	0.000000	0.450351
m.13208	752	0	0	1	0	0	0	-0.047	-0.0572	0.999058	0.240157	0.960819
m.13218	683	4	0	1	4	1	0	0.750	1.1290	0.000541	0.000020	0.643349
m.13226	326	4	11	3	10	13	7	1.596	2.9427	0.000000	0.000000	0.401981
m.13233	253	0	13	5	13	5	8	1.276	2.7450	0.000000	0.000000	0.412827
m.13240	197	6	6	3	7	9	3	1.118	2.1734	0.000000	0.000000	0.459349
m.13248	748	1	0	0	1	0	0	-0.068	-0.0848	0.997244	0.252853	0.957571
m.1328	203	0	2	0	2	2	1	0.373	0.5379	0.243626	0.014685	0.857154
m.13287	313	3	0	1	2	1	1	0.250	0.3389	0.625941	0.055843	0.934156
m.13295	297	4	5	2	1	7	2	0.272	0.3978	0.501610	0.039329	0.914081
m.133	397	3	3	1	2	3	1	0.587	0.8626	0.015269	0.000646	0.726995
m.13303	395	0	4	2	2	4	1	0.444	0.6457	0.115348	0.005936	0.811222
m.13314	295	19	30	8	23	20	23	1.518	3.9969	0.000000	0.000000	0.376295
m.1334	391	1	3	2	4	4	2	0.835	1.3083	0.000036	0.000001	0.598247
m.13347	625	0	1	0	0	0	0	-0.115	-0.1493	0.992979	0.279866	0.948447
